"NSC_number","smiles","logp","mol_weight","mol_formula"
1,"CC1=CC(=O)C=CC1=O",0.72,122.1232,"C7H6O2"
10,"C1(=CC=CC=C1)P(C2=CC=CC=C2)C3=CC=CC=C3",5.69,262.2903,"C18H15P"
55,"C(S(=O)CC1=CC=CC=C1)C2=CC=CC=C2",1.99,230.324,"C14H14OS"
96,"N#CCC1=CC=C(C=C1)OC",1.7,147.1762,"C9H9NO"
97,"CN(CC1=CC=CC=C1)C2=CC=CC=C2",4.22,197.2792,"C14H15N"
101,"CC(N(CC)CC)=O",0.34,115.1748,"C6H13NO"
107,"C1(=CC=CC=C1)C[Si](C)(C)C",4.13,164.3224,"C10H16Si"
111,"CC(=O)C1=CC=NC=C1",0.48,121.1384,"C7H7NO"
132,"CCN(CC)N=O",0.48,102.1358,"C4H10N2O"
133,"O=NN(CCC)CCC",1.36,130.1894,"C6H14N2O"
134,"O=NN(CC(C)C)CC(C)C",2.34,158.243,"C8H18N2O"
138,"C1CN(N=O)CCC1",0.36,114.1468,"C5H10N2O"
139,"C1CN(N=O)CCO1",-0.44,116.1194,"C4H8N2O2"
141,"C(C(=O)O)Br",0.41,138.9485,"C2H3BrO2"
142,"ClCC(=O)O",0.22,94.4975,"C2H3ClO2"
144,"OC(=O)C1=C(N)C=CC=C1",1.21,137.1378,"C7H7NO2"
145,"O=P(C1=CC=CC=C1)(O)O",0.54,158.0933,"C6H7O3P"
149,"OC(=O)C1=CC=CC=C1",1.87,122.1232,"C7H6O2"
150,"[O-][N+](=O)C1=CC(=C(C(=O)O)C=C1)Cl",2.03,201.5659,"C7H4ClNO4"
166,"OCC(=O)O",-1.11,76.0518,"C2H4O3"
171,"OC(=O)C1=CC=CC=N1",0.72,123.111,"C6H5NO2"
172,"BrC(C(=O)O)C",0.92,152.9753,"C3H5BrO2"
174,"ClCCC(=O)O",0.41,108.5243,"C3H5ClO2"
180,"OC(=O)C1=C(O)C=CC=C1",2.26,138.1226,"C7H6O3"
181,"OC(=O)C1=C(O)C(=CC(=C1)[N+](=O)[O-])[N+](=O)[O-]",1.71,228.1178,"C7H4N2O7"
183,"OC(=O)C1=CC(=CC=C1O)[N+](=O)[O-]",2.34,183.1202,"C7H5NO5"
185,"OC(CC1CC(=O)NC(C1)=O)C2C(=O)C(C)CC(C2)C",0.55,281.351,"C15H23NO4"
187,"CCCCOC(N)=O",0.85,117.1474,"C5H11NO2"
200,"CC(NC1=CC(=CC(=C1)C)C)=O",2.17,163.2188,"C10H13NO"
203,"C2(=C(SSC1=C([N+](=O)[O-])C=CC=C1)C=CC=C2)[N+](=O)[O-]",3.37,308.3262,"C12H8N2O4S2"
217,"O=S(N)(=O)C1=CC=C(NC(C)=O)C=C1",-0.04,214.2386,"C8H10N2O3S"
247,"ClC1=C(Cl)C=CC(=C1)N",2.69,162.0182,"C6H5Cl2N"
267,"NC(N/N=C/C1=CC=CC=C1)=S",1.86,179.2392,"C8H9N3S"
284,"[O-][N+](=O)C1=CC(=CC(=C1)N)[N+](=O)[O-]",1.89,183.1232,"C6H5N3O4"
295,"O=C(CCCC1=CC=CC=C1)O",2.42,164.2036,"C10H12O2"
301,"O=C(CC2=CC1=C(C=CC=C1)C=C2)O",2.81,186.2098,"C12H10O2"
311,"O=C(NC1=CC=CC=C1)CCl",1.63,169.6103,"C8H8ClNO"
313,"N(S(=O)(=O)C1=CC=C(C)C=C1)(N=O)C",0.58,214.2386,"C8H10N2O3S"
336,"CC(N(C(C)C)N=O)C",1.38,130.1894,"C6H14N2O"
339,"C1CN(N=O)CCN1N=O",-0.85,144.1328,"C4H8N4O2"
346,"[O-][N+](=O)C1=C2C(=CC=C1)C=CC=N2",1.4,174.1586,"C9H6N2O2"
398,"O=P(C1=CC=CC=C1)(C2=CC=CC=C2)C3=CC=CC=C3",2.83,278.2897,"C18H15OP"
401,"O=C(CC1=C(C=CC=C1)F)O",1.5,154.1405,"C8H7FO2"
402,"O=C(CC1=CC=C(C=C1)F)O",1.55,154.1405,"C8H7FO2"
427,"OC1=C(Cl)C=C(C=C1)O",1.4,144.5573,"C6H5ClO2"
428,"C[N+](=O)[O-]",-0.35,61.0402,"CH3NO2"
430,"O=C(COC1=C(C=C(Cl)C(=C1)Cl)Cl)O",3.31,255.4847,"C8H5Cl3O3"
431,"NC1=CC=CC=N1",0.48,94.1158,"C5H6N2"
435,"ClC(C1=CC=CC=C1)(C2=CC=CC=C2)C3=CC=CC=C3",5.25,278.7805,"C19H15Cl"
437,"SCCC(=O)O",0.43,106.1392,"C3H6O2S"
439,"C23=C(SC1=CC=CC=C1S2)C=CC=C3",4.47,216.3152,"C12H8S2"
442,"CC/C(C)=N/O",0.63,87.1212,"C4H9NO"
444,"CC(NC1=CC=C(Cl)C=C1)=O",2.09,169.6103,"C8H8ClNO"
448,"ClN=C1C=CC(=O)C=C1",1.26,141.5567,"C6H4ClNO"
451,"OCC(F)(F)F",0.41,100.0403,"C2H3F3O"
452,"OC(=O)C1CCCCC1",1.96,128.1706,"C7H12O2"
458,"O=C1C3=C(C(=O)C2=C1C=CC=C2)C=CC=C3N",3.74,223.2306,"C14H9NO2"
460,"CC1=CC(=NC(=C1)C)C",1.88,121.1816,"C8H11N"
464,"C23=C(OC1=CC=CC=C1S2)C=CC=C3",4.54,200.2546,"C12H8OS"
474,"C1CNCCN1",-1.5,86.1364,"C4H10N2"
475,"CC2=CC1=C(C=CC=C1)C=N2",2.68,143.1878,"C10H9N"
523,"CC(C#C)(C)O",0.28,84.1176,"C5H8O"
579,"NC1=CC=C(F)C=C1",1.15,111.1185,"C6H6FN"
585,"N(N=O)(C1=CC=CC=C1)C2=CC=CC=C2",3.13,198.2238,"C12H10N2O"
593,"ClC1=C2C(=NC=C1)C=C(Cl)C=C2",3.57,198.0512,"C9H5Cl2N"
618,"CC1=C2C(=CC=C1)C=C[NH]2",2.56,131.1768,"C9H9N"
623,"O=C(C1=C(C=CC=C1)O)C2=CC=CC=C2",3.52,198.2208,"C13H10O2"
629,"C2(C1OC1)OC2",-0.28,86.0902,"C4H6O2"
637,"C2(C1=CC=CC=C1)OC2",1.61,120.1506,"C8H8O"
642,"NNC(=O)C1=C(N)C=CC=C1",-0.18,151.1676,"C7H9N3O"
643,"O=S(NN)(=O)C1=CC=CC=C1",-0.14,172.2014,"C6H8N2O2S"
644,"NNC(=O)C1=CC=CC=C1",0.19,136.153,"C7H8N2O"
652,"NNC(=O)C1=C(O)C=CC=C1",0.6,152.1524,"C7H8N2O2"
671,"C(OOC(=O)C1=CC=CC=C1)(=O)C2=CC=CC=C2",3.46,242.2306,"C14H10O4"
736,"N(C1=CC=CC=C1)=CC2=CC=CC=C2",2.82,181.2366,"C13H11N"
740,"NC1=C2C(=NC(=N1)N)N=CC(=N2)CN(C)C3=CC=C(C(NC(CCC(=O)O)C(=O)O)=O)C=C3",-1.85,454.4444,"C20H22N8O5"
741,"CC34C(C2C(C1(C)C(=CC(=O)CC1)CC2)C(C3)O)CCC4(C(COC(C)=O)=O)O",2.19,404.5022,"C23H32O6"
746,"CCOC(N)=O",-0.15,89.0938,"C3H7NO2"
747,"CNC(C)=O",-1.05,73.0944,"C3H7NO"
748,"NC=O",-1.51,45.0408,"CH3NO"
750,"CS(=O)(=O)OCCCCOS(C)(=O)=O",-0.52,246.293,"C6H14O6S2"
753,"C2=NC1=C(N=C[NH]1)C=N2",-0.37,120.1134,"C5H4N4"
